date,datetime,cash_type,card,money,coffee_name
2024/3/1,2024/3/1 10:15,card,ANON-0000-0000-0001,38.7,Latte
2024/3/1,2024/3/1 12:19,card,ANON-0000-0000-0002,38.7,Hot Chocolate
2024/3/1,2024/3/1 12:20,card,ANON-0000-0000-0002,38.7,Hot Chocolate
2024/3/1,2024/3/1 13:46,card,ANON-0000-0000-0003,28.9,Americano
2024/3/1,2024/3/1 13:48,card,ANON-0000-0000-0004,38.7,Latte
2024/3/1,2024/3/1 15:39,card,ANON-0000-0000-0005,33.8,Americano with Milk
2024/3/1,2024/3/1 16:19,card,ANON-0000-0000-0006,38.7,Hot Chocolate
2024/3/1,2024/3/1 18:39,card,ANON-0000-0000-0007,33.8,Americano with Milk
2024/3/1,2024/3/1 19:22,card,ANON-0000-0000-0008,38.7,Cocoa
2024/3/1,2024/3/1 19:23,card,ANON-0000-0000-0008,33.8,Americano with Milk
2024/3/1,2024/3/1 19:29,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024/3/2,2024/3/2 10:22,card,ANON-0000-0000-0010,28.9,Americano
2024/3/2,2024/3/2 10:30,cash,,40,Latte
2024/3/2,2024/3/2 10:41,card,ANON-0000-0000-0011,33.8,Americano with Milk
2024/3/2,2024/3/2 11:59,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024/3/2,2024/3/2 14:38,card,ANON-0000-0000-0013,28.9,Americano
2024/3/2,2024/3/2 16:37,card,ANON-0000-0000-0014,33.8,Americano with Milk
2024/3/2,2024/3/2 17:34,card,ANON-0000-0000-0004,28.9,Americano
2024/3/3,2024/3/3 10:10,cash,,40,Latte
2024/3/3,2024/3/3 10:27,card,ANON-0000-0000-0015,38.7,Latte
2024/3/3,2024/3/3 11:33,card,ANON-0000-0000-0016,28.9,   CORTADO   
2024/3/3,2024/3/3 12:26,card,ANON-0000-0000-0012,28.9,Americano
2024/3/3,2024/3/3 13:09,card,ANON-0000-0000-0017,38.7,Hot Chocolate
2024/3/3,2024/3/3 17:06,card,ANON-0000-0000-0018,38.7,Cocoa
2024/3/3,2024/3/3 17:08,card,ANON-0000-0000-0019,28.9,Cortado
2024/3/3,2024/3/3 18:03,card,ANON-0000-0000-0020,33.8,Americano with Milk
2024/3/3,2024/3/3 18:04,card,ANON-0000-0000-0020,33.8,Americano with Milk
2024/3/3,2024/3/3 18:08,card,ANON-0000-0000-0020,38.7,Hot Chocolate
2024/3/4,2024/3/4 10:03,card,ANON-0000-0000-0001,38.7,Latte
2024/3/4,2024/3/4 10:54,card,ANON-0000-0000-0021,38.7,Latte
2024/3/4,2024/3/4 11:05,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024/3/4,2024/3/4 14:04,card,ANON-0000-0000-0022,24,Espresso
2024/3/5,2024/3/5 9:59,card,ANON-0000-0000-0001,38.7,Latte
2024/3/5,2024/3/5 14:34,card,ANON-0000-0000-0023,38.7,Latte
2024/3/5,2024/3/5 17:34,card,ANON-0000-0000-0024,38.7,Latte
2024/3/5,2024/3/5 17:35,card,ANON-0000-0000-0025,38.7,Hot Chocolate
2024/3/5,2024/3/5 17:36,card,ANON-0000-0000-0026,38.7,Cocoa
2024/3/5,2024/3/5 17:37,card,ANON-0000-0000-0027,38.7,Hot Chocolate
2024/3/5,2024/3/5 17:38,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024/3/5,2024/3/5 17:56,card,ANON-0000-0000-0028,28.9,Cortado
2024/3/5,2024/3/5 18:01,card,ANON-0000-0000-0028,38.7,Hot Chocolate
2024/3/6,2024/3/6 12:30,cash,,35,Americano with Milk
2024/3/6,2024/3/6 13:24,card,ANON-0000-0000-0012,28.9,Americano
2024/3/6,2024/3/6 13:25,card,ANON-0000-0000-0012,28.9,CORTADO
2024/3/6,2024/3/6 14:52,card,ANON-0000-0000-0029,38.7,Cappuccino
2024/3/6,2024/3/6 14:53,card,ANON-0000-0000-0029,38.7,Cappuccino
2024/3/7,2024/3/7 10:08,cash,,40,Latte
2024/3/7,2024/3/7 10:18,card,ANON-0000-0000-0030,38.7,Hot Chocolate
2024/3/7,2024/3/7 11:03,card,ANON-0000-0000-0031,38.7,Latte
2024/3/7,2024/3/7 11:25,cash,,40,Latte
2024/3/7,2024/3/7 15:40,card,ANON-0000-0000-0032,28.9,Americano
2024/3/7,2024/3/7 15:41,card,ANON-0000-0000-0033,33.8,Americano with Milk
2024/3/8,2024/3/8 10:34,card,ANON-0000-0000-0012,28.9,Cortado
2024/3/8,2024/3/8 12:22,card,ANON-0000-0000-0034,38.7,Cappuccino
2024/3/8,2024/3/8 13:53,card,ANON-0000-0000-0035,28.9,Americano
2024/3/8,2024/3/8 14:44,card,ANON-0000-0000-0012,28.9,Americano
2024/3/8,2024/3/8 14:45,card,ANON-0000-0000-0033,28.9,Americano
2024/3/8,2024/3/8 14:46,card,ANON-0000-0000-0012,33.8,Americano with Milk
2024/3/8,2024/3/8 18:57,card,ANON-0000-0000-0036,38.7,Latte
2024/3/8,2024/3/8 18:59,card,ANON-0000-0000-0037,38.7,Latte
2024/3/9,2024/3/9 11:49,cash,,40,Hot Chocolate
2024/3/9,2024/3/9 12:05,card,ANON-0000-0000-0038,24,Espresso
2024/3/9,2024/3/9 12:07,card,ANON-0000-0000-0039,28.9,Americano
2024/3/9,2024/3/9 12:09,card,ANON-0000-0000-0012,38.7,Cappuccino
2024/3/9,2024/3/9 12:13,card,ANON-0000-0000-0040,28.9,Americano
2024/3/9,2024/3/9 12:14,card,ANON-0000-0000-0040,28.9,Americano
2024/3/9,2024/3/9 13:09,card,ANON-0000-0000-0041,38.7,Latte
2024/3/9,2024/3/9 13:41,card,ANON-0000-0000-0042,33.8,Americano with Milk
2024/3/9,2024/3/9 13:53,card,ANON-0000-0000-0043,28.9,Cortado
2024/3/9,2024/3/9 13:54,card,ANON-0000-0000-0043,38.7,Cappuccino
2024/3/9,2024/3/9 14:08,card,ANON-0000-0000-0009,33.8,Americano with Milk
2024/3/9,2024/3/9 14:26,card,ANON-0000-0000-0044,38.7,Hot Chocolate
2024/3/9,2024/3/9 19:17,card,ANON-0000-0000-0009,38.7,Cappuccino
2024/3/9,2024/3/9 19:19,card,ANON-0000-0000-0009,38.7,Hot Chocolate
2024/3/10,2024/3/10 7:44,cash,,30,Americano
2024/3/10,2024/3/10 7:45,cash,,35,Americano with Milk
2024/3/10,2024/3/10 10:06,cash,,40,Latte
2024/3/10,2024/3/10 11:19,card,ANON-0000-0000-0045,24,Espresso
2024/3/10,2024/3/10 17:51,cash,,35,Americano with Milk
2024/3/10,2024/3/10 19:34,card,ANON-0000-0000-0046,38.7,Latte
2024/3/10,2024/3/10 19:35,card,ANON-0000-0000-0046,28.9,Cortado
2024/3/11,2024/3/11 10:18,cash,,40,Latte
2024/3/11,2024/3/11 11:24,cash,,40,Cappuccino
2024/3/11,2024/3/11 11:24,cash,,30,Cortado
2024/3/11,2024/3/11 11:26,cash,,30,Americano
2024/3/11,2024/3/11 11:32,card,ANON-0000-0000-0035,38.7,Cappuccino
2024/3/11,2024/3/11 16:24,card,ANON-0000-0000-0047,28.9,Americano
2024/3/11,2024/3/11 16:25,card,ANON-0000-0000-0047,38.7,Latte
2024/3/11,2024/3/11 16:50,card,ANON-0000-0000-0048,28.9,  Cortado
2024/3/12,2024/3/12 10:15,cash,,40,Latte
2024/3/12,2024/3/12 10:15,card,ANON-0000-0000-0033,28.9,Americano
2024/3/12,2024/3/12 10:16,card,ANON-0000-0000-0033,28.9,CORTADO
2024/3/12,2024/3/12 11:20,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024/3/12,2024/3/12 12:46,card,ANON-0000-0000-0004,33.8,Americano with Milk
2024/3/12,2024/3/12 12:47,card,ANON-0000-0000-0004,28.9,Americano
2024/3/12,2024/3/12 16:15,card,ANON-0000-0000-0050,28.9,Americano
2024/3/13,2024/3/13 11:06,card,ANON-0000-0000-0048,38.7,Hot Chocolate
2024/3/13,2024/3/13 11:48,card,ANON-0000-0000-0004,28.9,Americano
2024/3/13,2024/3/13 12:18,card,ANON-0000-0000-0051,28.9,Americano
2024/3/13,2024/3/13 12:19,card,ANON-0000-0000-0051,28.9,Americano
2024/3/13,2024/3/13 12:34,cash,,25,Espresso
2024/3/13,2024/3/13 14:26,card,ANON-0000-0000-0052,33.8,Americano with Milk
2024/3/13,2024/3/13 15:40,card,ANON-0000-0000-0053,24,Espresso
2024/3/13,2024/3/13 15:41,card,ANON-0000-0000-0053,24,Espresso
2024/3/13,2024/3/13 16:47,card,ANON-0000-0000-0054,24,Espresso
2024/3/14,2024/3/14 10:02,cash,,40,Latte
2024/3/14,2024/3/14 10:28,card,ANON-0000-0000-0055,38.7,Latte
2024/3/14,2024/3/14 10:29,card,ANON-0000-0000-0055,38.7,Hot Chocolate
2024/3/14,2024/3/14 13:27,card,ANON-0000-0000-0012,28.9,Cortado
2024/3/14,2024/3/14 13:28,card,ANON-0000-0000-0012,28.9,Americano
2024/3/14,2024/3/14 13:52,card,ANON-0000-0000-0056,33.8,Americano with Milk
2024/3/14,2024/3/14 13:52,card,ANON-0000-0000-0057,24,Espresso
2024/3/14,2024/3/14 15:20,card,ANON-0000-0000-0058,38.7,Latte
2024/3/14,2024/3/14 16:04,card,ANON-0000-0000-0059,33.8,Americano with Milk
2024/3/14,2024/3/14 16:54,card,ANON-0000-0000-0050,24,Espresso
2024/3/14,2024/3/14 18:58,card,ANON-0000-0000-0019,38.7,Hot Chocolate
2024/3/14,2024/3/14 19:00,card,ANON-0000-0000-0012,28.9,Cortado   
2024/3/15,2024/3/15 10:02,cash,,40,Latte
2024/3/15,2024/3/15 10:53,card,ANON-0000-0000-0060,38.7,Hot Chocolate
2024/3/15,2024/3/15 18:19,card,ANON-0000-0000-0012,28.9,Americano
2024/3/16,2024/3/16 12:06,card,ANON-0000-0000-0061,33.8,Americano with Milk
2024/3/16,2024/3/16 12:07,card,ANON-0000-0000-0061,28.9,Americano
2024/3/16,2024/3/16 15:58,card,ANON-0000-0000-0009,28.9,Cortado
2024/3/16,2024/3/16 16:03,card,ANON-0000-0000-0009,28.9,Cortado
2024/3/16,2024/3/16 16:04,card,ANON-0000-0000-0012,28.9,Cortado
2024/3/16,2024/3/16 17:58,card,ANON-0000-0000-0062,33.8,Americano with Milk
2024/3/17,2024/3/17 10:10,cash,,40,Latte
2024/3/17,2024/3/17 12:55,card,ANON-0000-0000-0063,28.9,Cortado
2024/3/18,2024/3/18 11:18,card,ANON-0000-0000-0064,28.9,CORTADO
2024/3/18,2024/3/18 15:31,card,ANON-0000-0000-0003,28.9,Americano
2024/3/18,2024/3/18 15:32,card,ANON-0000-0000-0003,28.9,Americano
2024/3/18,2024/3/18 15:33,card,ANON-0000-0000-0003,28.9,Americano
2024/3/19,2024/3/19 10:20,cash,,30,Cortado
2024/3/19,2024/3/19 14:02,card,ANON-0000-0000-0065,38.7,Latte
2024/3/19,2024/3/19 14:03,card,ANON-0000-0000-0065,38.7,Latte
2024/3/19,2024/3/19 15:04,card,ANON-0000-0000-0049,38.7,Hot Chocolate
2024/3/19,2024/3/19 16:53,card,ANON-0000-0000-0066,33.8,Americano with Milk
2024/3/19,2024/3/19 19:26,cash,,40,Hot Chocolate
2024/3/20,2024/3/20 11:41,card,ANON-0000-0000-0012,28.9,Cortado
2024/3/20,2024/3/20 12:21,cash,,40,Latte
